platform,handle,subscribers,url,type,notes
youtube,vladopardcs2,88700,https://www.youtube.com/@vladopardcs2,individual,CS2 faceit content hispano
youtube,SrAmilcar.,87500,https://www.youtube.com/@SrAmilcar.,individual,España — streams Kick resúmenes CS2
youtube,HDSuSo,60000,https://www.youtube.com/@HDSuSo,individual,HDSuSo — CS2 Español main
youtube,mixwellCS,54600,https://www.youtube.com/@mixwellCS,individual,mixwellCS — ex-pro España 10+ años
youtube,lucasmdqcs,51400,https://www.youtube.com/@lucasmdqcs,individual,lucasmdq — Argentina Mar del Plata
youtube,AsylumCSGO,45800,https://www.youtube.com/@AsylumCSGO,individual,Asylum — España CS2/CSGO
youtube,ZAFIROCS,45100,https://www.youtube.com/@ZAFIROCS,individual,ZAFIRO — Uruguay Montevideo
youtube,TORE1005,43200,https://www.youtube.com/@TORE1005,individual,TORE1005 — España streamer/creator
youtube,soysendoh,42100,https://www.youtube.com/@soysendoh,individual,sendoh — España CS2
youtube,siezCS2,41200,https://www.youtube.com/@siezCS2,individual,Siez — España POV CS2
youtube,TiburoNcs,28000,https://www.youtube.com/@TiburoNcs,individual,TiburoN — hispano jugador pro
youtube,Pol0cs,28000,https://www.youtube.com/@Pol0cs,individual,Pol0 — hispano CS pro player
youtube,mateozcs2,24700,https://www.youtube.com/@mateozcs2,individual,mateoz cs — España individual
youtube,juanch1,24400,https://www.youtube.com/@juanch1,individual,juanch1 — España individual
youtube,Yufiie,20800,https://www.youtube.com/@Yufiie,individual,Yufiie — España ex-comentarista OpTic
twitch,x9nium,44348,https://www.twitch.tv/x9nium,individual,CS2 main — last broadcast Counter-Strike
twitch,ezconde,57353,https://www.twitch.tv/ezconde,individual,CS2 main — last broadcast Counter-Strike
twitch,v1nchenso7,45333,https://www.twitch.tv/v1nchenso7,individual,CS2 main — last broadcast Counter-Strike
instagram,branuelcs,61000,https://www.instagram.com/branuelcs/,individual,brandon — CS2 streamer
instagram,javybasualdo,69000,https://www.instagram.com/javybasualdo/,individual,JavyBasualdo — CS2 pro/streamer Argentina
instagram,znorux,55000,https://www.instagram.com/znorux/,individual,ZNORUX — CS2 creator
instagram,flipin1,46000,https://www.instagram.com/flipin1/,individual,Antonio Rivas del Rey — CS2/gaming España
instagram,ericanguloleonel,40000,https://www.instagram.com/ericanguloleonel/,individual,Eric Leonel Angulo — CS2 individual
instagram,jesusitoshiny,35000,https://www.instagram.com/jesusitoshiny/,individual,jesusitoshiny — Tecnología & Videojuegos
